Gerät,Patch Date,Patch Level Status: Compliant (Last 2 Months)
ATSE-VDI-NC06,August 2025,true
ATSE-LT-TD04,September 2025,true
ATSE-LT-EDV73,September 2025,true
ATSE-LT-MONT023,September 2025,true
ATSE-LT-TD07,September 2025,true
ATSE-LT-MONT021,September 2025,true
ATSE-LT-BH08,September 2025,true
ATSE-LT-BDE0068,September 2025,true
ATSE-LT-BH10,September 2025,true
ATSE-LT-BDE0123,September 2025,true
ATSE-LT-MONT033,August 2025,true
ATSE-LT-MONT029,September 2025,true
CNSH-LT-VK15,September 2025,true
ATSE-LT-MAG17,September 2025,true
AEDU2-LT-SERV61,July 2025,true
ATSE-LT-MAG72,September 2025,true
ATSE-LT-PM03,September 2025,true
ATSE-LT-QM04,September 2025,true
ATSE-LT-PROD005,September 2025,true
ATSE-LT-TD08,September 2025,true
ATSE-LT-SL03,September 2025,true
CNSH-LT-ACC05,September 2025,true
ATSE-LT-PROD006,September 2025,true
LIVI-LT-ACC06,September 2025,true
ATSE-CL-BDE0507,September 2025,true
ATSE-CL-BDE0070,September 2025,true
ATSE-CL-BDE0063,May 2025,false
ATSE-LT-AV02,September 2025,true
ATSE-LT-SV24,September 2025,true
ATSE-LT-ETECH29,September 2025,true
ATSE-LT-AV06,September 2025,true
DECE-LT-CAD03,August 2025,true
ATSE-LT-MONT002,August 2025,true
ATSE-LT-BH19,September 2025,true
ATSE-CL-BDE0533,September 2025,true
ATSE-LT-PRODM01,September 2025,true
USBU-CL-SVR03,September 2025,true
USBU-CL-SVR04,September 2025,true
ATSE-LT-MONT007,September 2025,true
ATSE-LT-DEV19,September 2025,true
ATSE-LT-PJ01,September 2025,true
ATSE-CL-BDE0026,September 2025,true
ATSE-LT-TS03,September 2025,true
ATSE-LT-QM10,September 2025,true
ATSE-LT-BDE0054,July 2025,true
ATSE-LT-BDE0125,September 2025,true
ATSE-CL-BDE0556,September 2025,true
ATSE-LT-MONT034,September 2025,true
ATSE-LT-SV37,September 2025,true
ATSE-LT-TS10,September 2025,true
AEDU2-LT-SERV67,September 2025,true
AEDU2-LT-DEV33,September 2025,true
AEDU2-LT-DEV34,September 2025,true
AEDU2-LT-DEV39,September 2025,true
